ID	Name	Glottocode	Family
Shuri	Shuri	shur1243	Japonic
Tokyo	Tōkyō	toky1238	Japonic
Kyoto	Kyōto	kyot1238	Japonic
Hachijo	Hachijō	hach1239	Japonic
Miyako	Miyako	miya1259	Japonic
Kagoshima	Kagoshima	kyus1238	Japonic
Oki	Oki	okin1246	Japonic
Amami	Amami	naze1238	Japonic
Kochi	Kōchi	shik1243	Japonic
Sado	Sado	sado1237	Japonic
